Cod. Item;Item;Definicao;Classificacao; R$ Valor Sugerido ;Item Dolarizado;Especificacao Sugerida;Tipo
10277;Central de Monitoração para UTI;Solução destinada para a monitorização simultânea de diversos leitos à distância do local onde o equipamento estiver instalado. A Central assegura e viabiliza aos profissionais a monitoração remota dos pacientes, o que facilita o trabalho no hospital.;Médico Assistencial;R$ 299.361,00;N;Clique para Detalhar;ESPECIALIZADO
2964;Central de Nebulização;Equipamento utilizado para nebulização e ou inalação com fins terapêuticos.;Médico Assistencial;R$ 3.022,00;N;Clique para Detalhar;ESPECIALIZADO
11802;Centrífuga de Roupas;Equipamento utlizado para centrifugar roupas e tecidos hospitalares.;Apoio;R$ 86.166,00;N;Clique para Detalhar;ESPECIALIZADO
2059;Centrífuga Laboratorial;Equipamento utilizado para separar as amostras, fazendo com que a parte líquida da amostra seja separada da parte sólida.;Médico Assistencial;R$ 4.778,00;N;Clique para Detalhar;ESPECIALIZADO
11264;Centrífuga Lavadora de Células;Centrifuga  utilizada para lavar células sanguíneas para testes de reagentes de antiglobulina tais como compatibilidade ABO, testes de Rh, cruzamento combinado, procedimento COOMBS, dentre outros.;Médico Assistencial;R$ 79.689,00;N;Clique para Detalhar;ESPECIALIZADO
1673;Centrífuga Refrigerada;Centrífuga utilizada em laboratórios clínicos, hospitais, pesquisas clínicas, microbiologia, bancos de sangue, com necessidade de refrigeração.;Médico Assistencial;R$ 30.319,00;N;Clique para Detalhar;ESPECIALIZADO
10929;Centrifugador para Prótese Dentária;Equipamento utilizado para fundir ligas de ouro, níquel/ cromo para a confecção de prótese dentária.;Apoio;R$ 1.135,00;N;Clique para Detalhar;NÃO ESPECIALIZADO
11782;Chapa Aquecedora;Equipamento utilizado para o aquecimento uniforme e controlado de diferentes substâncias colocadas no equipamento.;Apoio;R$ 1.715,00;N;Clique para Detalhar;NÃO ESPECIALIZADO
11910;Chocalho;Instrumento musical de percussão que emite sons ao ser agitado, sendo utilizado como um recurso para atividades de reabilitação sensoriais e motoras.;Apoio;R$ 311,00;N;Clique para Detalhar;ANÁLISE NÃO ESPECIALIZADA
2656;Chuveiro Lava-Olhos;São equipamentos de proteção coletiva imprescindíveis a todos os laboratórios. São destinados a eliminar ou minimizar os danos causados por acidentes nos olhos e/ou face e em qualquer parte do corpo.;Apoio;R$ 1.181,00;N;Clique para Detalhar;ESPECIALIZADO
3068;Cicloergômetro;É um equipamento de exercício e avaliação projetado para permitir que o usuário realize um trabalho físico mensurável utilizando o movimento de pedalar.;Médico Assistencial;R$ 1.924,00;N;Clique para Detalhar;NÃO ESPECIALIZADO
11927;Cicloergômetro para Membros Superiores;Equipamento utilizado  para membros superiores possui .regulação em altura a fim de possibilitar a realização do xercício nas posições em pé e sentado. As manivelas são bidirecionais, funcionando de forma ativa ou ativaassistida (o aparelho pode auxiliar o movimento).;Médico Assistencial;R$ 203,00;N;Clique para Detalhar;ANÁLISE ESPECIALIZADA
11252;Cilindro de CO2;Cilindro destinado ao preenchido/ carregamento com Dióxido de Carbono ou CO2, utilizado em várias aplicações na medicina. Existem diversas especificações de pureza deste gás, a qual é requerida pelo tipo de aplicação.;Apoio;R$ 1.128,00;N;Clique para Detalhar;NÃO ESPECIALIZADO
782;Cilindro de Gases Medicinais;Cilindro destinado ao preenchido/carregamento de gás ou mistura de gases destinados ao armazenamento e transporte de gases de alta pureza (como oxigênio, óxido nitroso, ar medicinal) para uso terapêutico, diagnóstico ou anestésico;Apoio;R$ 1.890,00;N;Clique para Detalhar;NÃO ESPECIALIZADO
10482;Citocentrífuga;Aparelho para preparo de lâminas a partir de células em suspensão dedicada aos procedimentos laboratoriais citológicos;Médico Assistencial;R$ 14.924,00;N;Clique para Detalhar;ESPECIALIZADO
11411;Citômetro de Fluxo ( a partir de 7 parâmetros);Equipamento de detecção óptico-eletrônico para análises de características físicas e/ou químicas de partículas/células microscópicas suspensas em meio líquido em fluxo. Permite a análise de vários parâmetros simultaneamente para contar, examinar e classificar as estruturas.;Médico Assistencial;R$ 919.000,00;N;Clique para Detalhar;ESPECIALIZADO
11410;Citômetro de Fluxo (até 6 parâmetros);Equipamento de detecção óptico-eletrônico para análises de características físicas e/ou químicas de partículas/células microscópicas suspensas em meio líquido em fluxo. Permite a análise de vários parâmetros simultaneamente para contar, examinar e classificar as estruturas.;Médico Assistencial;R$ 473.000,00;N;Clique para Detalhar;ESPECIALIZADO
10908;Coagulador de Argônio;O coagulador por plasma de argônio é uma técnica de eletrocoagulação utilizada para a coagulação de tecidos vascularizados e com perda substancial de sangue, que necessita de rápido controle do sangramento e baixa destruição tecidual por haver pouca penetração na espessura da parede do órgão. Indicado para cirurgias de ginecologia, vídeolaparoscopia e endoscopia, cirurgias oncológicas, dentre outras que necessitem de coagulação rápida e eficaz. São necessários para o procedimento um cilindro contendo o gás de argônio, um gerador eletrocirúrgico de alta frequência e uma sonda especial de eletrocoagulação.;Médico Assistencial;R$ 97.687,00;N;Clique para Detalhar;ESPECIALIZADO
2443;Coagulômetro;Equipamento para detecção qualitativa ou quantitativa relacionada formação do coágulo, destinado a realização de ensaios de coagulação como: Tempo de Protrombina (TP), Tempo de Tromboplastina Parcialmente ativada (TTPA), Fibrinogênio, Tempo de Trombina (TT), entre outros.;Médico Assistencial;R$ 12.502,00;N;Clique para Detalhar;ESPECIALIZADO
11946;Coletor de Dados Hospitalar Móvel;Dispositivo portátil robusto com tela sensível ao toque, usado para coleta de dados, comunicação e execução de tarefas à beira leito.;Apoio;R$ 4.305,00;N;Clique para Detalhar;ANÁLISE NÃO ESPECIALIZADA
10059;Colorador Automático de Lâminas;Equipamento para otimização de processos de coloração de lâminas em diversas rotinas laboratoriais.;Médico Assistencial;R$ 102.566,00;N;Clique para Detalhar;ESPECIALIZADO
378;Colposcópio;Equipamento utilizado para visualização do colo uterino, vagina e vulva.;Médico Assistencial;R$ 18.035,00;N;Clique para Detalhar;ESPECIALIZADO
2952;Coluna Oftalmológica;Coluna oftalmológica utilizada para apoio nas consultas e pequenas intervenções cirúrgicas e pós-cirúrgicas.;Médico Assistencial;R$ 13.925,00;N;Clique para Detalhar;ESPECIALIZADO
1006;Comadre;Recipiente anatômico utilizado pelo paciente feminino para fazer as suas necessidades fisiológicas.;Apoio;R$ 220,00;N;Clique para Detalhar;NÃO ESPECIALIZADO
